env	row	col	rep	inc.block	yield	gen	Row	Col
E1	9	11	R2	B5	144.185	G24	9	11
E1	10	1	R2	B8	160.296	G47	10	1
E1	10	2	R2	B8	157.056	G30	10	2
E1	10	3	R2	B8	118.612	G10	10	3
E1	10	4	R2	B8	150.785	G59	10	4
E1	10	5	R2	B8	165.382	G49	10	5
E1	10	6	R2	B8	158.302	G08	10	6
E1	10	7	R2	B5	137.556	G50	10	7
E1	10	8	R2	B5	172.414	G63	10	8
E1	10	9	R2	B5	170.8	G05	10	9
E1	10	10	R2	B5	183.872	G09	10	10
E1	10	11	R2	B5	154.305	G28	10	11
E1	11	1	R2	B8	156.317	G21	11	1
E1	11	2	R2	B8	133.125	G36	11	2
E1	11	3	R2	B4	143.811	G22	11	3
E1	11	4	R2	B4	132.923	G11	11	4
E1	11	5	R2	B4	160.379	G41	11	5
E1	11	6	R2	B4	162.575	G55	11	6
E1	11	7	R2	B4	176.243	G40	11	7
E1	11	8	R2	B4	166.789	G58	11	8
E1	11	9	R2	B4	157.06	G04	11	9
E1	11	10	R2	B4	161.088	G29	11	10
E1	11	11	R2	B1	159.923	G13	11	11
E1	12	1	R3	B4	168.124	G04	12	1
E1	12	2	R3	B4	136.917	G47	12	2
E1	12	3	R3	B4	160.809	G17	12	3
E1	12	4	R3	B4	174.239	G13	12	4
E1	12	5	R2	B1	159.923	G62	12	5
E1	12	6	R2	B1	163.159	G56	12	6
E1	12	7	R2	B1	152.485	G27	12	7
E1	12	8	R2	B1	167.757	G44	12	8
E1	12	9	R2	B1	157.662	G01	12	9
E1	12	10	R2	B1	160.129	G39	12	10
E1	12	11	R2	B1	162.763	G18	12	11
E1	13	1	R3	B4	159.923	G51	13	1
E1	13	2	R3	B4	165.067	G38	13	2
E1	13	3	R3	B4	157.974	G26	13	3
E1	13	4	R3	B4	149.967	G64	13	4
E1	13	5	R3	B7	163.411	G35	13	5
E1	13	6	R3	B7	159.323	G44	13	6
E1	13	7	R3	B7	160.821	G24	13	7
E1	13	8	R3	B7	147.574	G57	13	8
E1	13	9	R3	B7	148.09	G29	13	9
E1	13	10	R3	B7	167.964	G10	13	10
E1	13	11	R3	B7	161.765	G54	13	11
E1	14	1	R3	B8	148.937	G14	14	1
E1	14	2	R3	B8	142.32	G23	14	2
E1	14	3	R3	B2	160.159	G22	14	3
E1	14	4	R3	B2	144.354	G15	14	4
E1	14	5	R3	B2	165.241	G56	14	5
E1	14	6	R3	B2	150.888	G33	14	6
E1	14	7	R3	B2	160.189	G45	14	7
E1	14	8	R3	B2	168.095	G02	14	8
E1	14	9	R3	B2	147.059	G59	14	9
E1	14	10	R3	B2	156.101	G28	14	10
E1	14	11	R3	B7	148.407	G07	14	11
E1	15	1	R3	B8	153.195	G37	15	1
E1	15	2	R3	B8	139.756	G50	15	2
E1	15	3	R3	B8	168.046	G08	15	3
E1	15	4	R3	B8	155.822	G41	15	4
E1	15	5	R3	B8	173.4	G60	15	5
E1	15	6	R3	B8	161.199	G27	15	6
E1	15	7	R3	B1	159.78	G48	15	7
E1	15	8	R3	B1	151.8	G34	15	8
E1	15	9	R3	B1	156.225	G11	15	9
E1	15	10	R3	B1	166.252	G30	15	10
E1	15	11	R3	B1	143.849	G63	15	11
E1	16	1	R3	B3	160.716	G09	16	1
E1	16	2	R3	B3	155.778	G21	16	2
E1	16	3	R3	B3	138.575	G03	16	3
E1	16	4	R3	B3	180.401	G46	16	4
E1	16	5	R3	B3	165.359	G39	16	5
E1	16	6	R3	B3	177.899	G52	16	6
E1	16	7	R3	B3	171.094	G32	16	7
E1	16	8	R3	B3	172.921	G58	16	8
E1	16	9	R3	B1	199.763	G53	16	9
E1	16	10	R3	B1	174.707	G01	16	10
E1	16	11	R3	B1	152.308	G20	16	11
E1	17	1	R3	B5	172.336	G49	17	1
E1	17	2	R3	B5	165.359	G05	17	2
E1	17	3	R3	B5	153.55	G62	17	3
E1	17	4	R3	B5	188.329	G19	17	4
E1	17	5	R3	B5	147.382	G12	17	5
E1	17	6	R3	B5	120.095	G31	17	6
E1	17	7	R3	B5	172.204	G40	17	7
E1	17	8	R3	B5	184.239	G42	17	8
E1	17	9	R3	B6	139.832	G06	17	9
E1	17	10	R3	B6	164.521	G55	17	10
E1	17	11	R3	B6	157.608	G25	17	11
E1	18	1	R3	B6	152.84	G36	18	1
E1	18	2	R3	B6	137.556	G43	18	2
E1	18	3	R3	B6	167.205	G61	18	3
E1	18	4	R3	B6	148.74	G18	18	4
E1	18	5	R3	B6	162.083	G16	18	5
E1	18	6	R3	B6		G01	18	6
E1	18	7	R3	B6		G01	18	7
E1	18	8	R3	B6		G01	18	8
E1	18	9	R3	B6		G01	18	9
E1	18	10	R3	B6		G01	18	10
E1	18	11	R3	B6		G01	18	11
E2	1	1	R1	B6	69.992	G30	1	1
E2	1	2	R1	B6	74.381	G06	1	2
E2	1	3	R1	B6	85.796	G62	1	3
E2	1	4	R1	B6	83.634	G46	1	4
E2	1	5	R1	B6	110.606	G54	1	5
E2	1	6	R1	B6	124.112	G38	1	6
E2	1	7	R1	B6	125.296	G22	1	7
E2	1	8	R1	B6	100.738	G14	1	8
E2	1	9	R1	B2	80.189	G26	1	9
E2	1	10	R1	B2	116.606	G02	1	10
E2	1	11	R1	B2	45.075	G58	1	11
E2	2	1	R1	B7	60.568	G39	2	1
E2	2	2	R1	B7	44.026	G55	2	2
E2	2	3	R1	B7	55.536	G47	2	3
E2	2	4	R1	B7	27.337	G63	2	4
E2	2	5	R1	B7	53.373	G07	2	5
E2	2	6	R1	B7	38.09	G31	2	6
E2	2	7	R1	B2	43.792	G10	2	7
E2	2	8	R1	B2	52.562	G18	2	8
E2	2	9	R1	B2	40.903	G34	2	9
E2	2	10	R1	B2	31.11	G50	2	10
E2	2	11	R1	B2	51.744	G42	2	11
E2	3	1	R1	B7	76.18	G23	3	1
E2	3	2	R1	B7	69.669	G15	3	2
E2	3	3	R1	B4	52.062	G28	3	3
E2	3	4	R1	B4	32.269	G04	3	4
E2	3	5	R1	B4	33.857	G60	3	5
E2	3	6	R1	B4	37.73	G44	3	6
E2	3	7	R1	B4	52.498	G52	3	7
E2	3	8	R1	B4	52.062	G36	3	8
E2	3	9	R1	B4	47.612	G20	3	9
E2	3	10	R1	B4	43.688	G12	3	10
E2	3	11	R1	B3	42.389	G27	3	11
E2	4	1	R1	B5	91.5	G45	4	1
E2	4	2	R1	B5	94.901	G61	4	2
E2	4	3	R1	B5	64.462	G05	4	3
E2	4	4	R1	B5	39.874	G29	4	4
E2	4	5	R1	B3	34.704	G11	4	5
E2	4	6	R1	B3	32.423	G19	4	6
E2	4	7	R1	B3	50.759	G35	4	7
E2	4	8	R1	B3	43.375	G51	4	8
E2	4	9	R1	B3	40.615	G43	4	9
E2	4	10	R1	B3	38.752	G59	4	10
E2	4	11	R1	B3	47.163	G03	4	11
E2	5	1	R1	B5	68.918	G53	5	1
E2	5	2	R1	B5	49.882	G37	5	2
E2	5	3	R1	B5	54.703	G21	5	3
E2	5	4	R1	B5	58.431	G13	5	4
E2	5	5	R1	B1	57.607	G25	5	5
E2	5	6	R1	B1	50.082	G01	5	6
E2	5	7	R1	B1	33.46	G57	5	7
E2	5	8	R1	B1	30.978	G41	5	8
E2	5	9	R1	B1	37.633	G49	5	9
E2	5	10	R1	B1	44.184	G33	5	10
E2	5	11	R1	B1	49.533	G17	5	11
E2	6	1	R2	B1	61.282	G56	6	1
E2	6	2	R2	B1	66.547	G18	6	2
E2	6	3	R1	B8	64.454	G16	6	3
E2	6	4	R1	B8	51.2	G24	6	4
E2	6	5	R1	B8	51.385	G40	6	5
E2	6	6	R1	B8	41.602	G56	6	6
E2	6	7	R1	B8	41.219	G48	6	7
E2	6	8	R1	B8	49.5	G64	6	8
E2	6	9	R1	B8	61.361	G08	6	9
E2	6	10	R1	B8	58.796	G32	6	10
E2	6	11	R1	B1	59.07	G09	6	11
E2	7	1	R2	B1	81.426	G01	7	1
E2	7	2	R2	B1	78.964	G27	7	2
E2	7	3	R2	B1	46.83	G44	7	3
E2	7	4	R2	B1	65	G62	7	4
E2	7	5	R2	B1	39.763	G39	7	5
E2	7	6	R2	B1	41.947	G13	7	6
E2	7	7	R2	B5	84.296	G38	7	7
E2	7	8	R2	B5	46.488	G63	7	8
E2	7	9	R2	B5	46.555	G28	7	9
E2	7	10	R2	B5	50.022	G05	7	10
E2	7	11	R2	B5	63.018	G09	7	11
E2	8	1	R2	B4	41.388	G22	8	1
E2	8	2	R2	B4	38.585	G41	8	2
E2	8	3	R2	B4	35.031	G29	8	3
E2	8	4	R2	B4	48.27	G40	8	4
E2	8	5	R2	B4	43.254	G58	8	5
E2	8	6	R2	B4	63.202	G55	8	6
E2	8	7	R2	B4	66.286	G04	8	7
E2	8	8	R2	B4	52.561	G11	8	8
E2	8	9	R2	B5	43.86	G43	8	9
E2	8	10	R2	B5	42.399	G24	8	10
E2	8	11	R2	B5	73	G50	8	11
E2	9	1	R2	B7	69.586	G07	9	1
E2	9	2	R2	B7	32.692	G14	9	2
E2	9	3	R2	B7	39.763	G19	9	3
E2	9	4	R2	B7	45.73	G33	9	4
E2	9	5	R2	B7	60.408	G61	9	5
E2	9	6	R2	B7	56.626	G48	9	6
E2	9	7	R2	B7	31.073	G26	9	7
E2	9	8	R2	B7	60.973	G52	9	8
E2	9	9	R2	B8	58.569	G49	9	9
E2	9	10	R2	B8	44.312	G21	9	10
E2	9	11	R2	B8	61.073	G10	9	11
E2	10	1	R2	B2	70.748	G17	10	1
E2	10	2	R2	B2	38.585	G02	10	2
E2	10	3	R2	B2	47.388	G16	10	3
E2	10	4	R2	B2	45.498	G46	10	4
E2	10	5	R2	B2	52.059	G35	10	5
E2	10	6	R2	B2	24.413	G60	10	6
E2	10	7	R2	B8	54.564	G08	10	7
E2	10	8	R2	B8	48.652	G59	10	8
E2	10	9	R2	B8	59.359	G36	10	9
E2	10	10	R2	B8	50.951	G30	10	10
E2	10	11	R2	B8	40.331	G47	10	11
E2	11	1	R2	B2	43.375	G53	11	1
E2	11	2	R2	B2	39.407	G31	11	2
E2	11	3	R2	B6	62.899	G32	11	3
E2	11	4	R2	B6	25.354	G42	11	4
E2	11	5	R2	B6	31.425	G37	11	5
E2	11	6	R2	B6	33.678	G20	11	6
E2	11	7	R2	B6	71.642	G51	11	7
E2	11	8	R2	B6	49.763	G15	11	8
E2	11	9	R2	B6	69.926	G06	11	9
E2	11	10	R2	B6	50.679	G57	11	10
E2	11	11	R2	B3	29.275	G45	11	11
E2	12	1	R3	B7	50.237	G44	12	1
E2	12	2	R3	B7	45.285	G35	12	2
E2	12	3	R3	B7	45.662	G57	12	3
E2	12	4	R3	B7	42.847	G10	12	4
E2	12	5	R2	B3	45.673	G34	12	5
E2	12	6	R2	B3	40.806	G12	12	6
E2	12	7	R2	B3	48.114	G03	12	7
E2	12	8	R2	B3	50.517	G23	12	8
E2	12	9	R2	B3	78.686	G54	12	9
E2	12	10	R2	B3	73.326	G64	12	10
E2	12	11	R2	B3	31.844	G25	12	11
E2	13	1	R3	B7	51.121	G07	13	1
E2	13	2	R3	B7	30.568	G29	13	2
E2	13	3	R3	B7	52.561	G24	13	3
E2	13	4	R3	B7	51.988	G54	13	4
E2	13	5	R3	B3	40.237	G03	13	5
E2	13	6	R3	B3	40.356	G39	13	6
E2	13	7	R3	B3	51.927	G58	13	7
E2	13	8	R3	B3	69.415	G32	13	8
E2	13	9	R3	B3	59.279	G09	13	9
E2	13	10	R3	B3	60.606	G46	13	10
E2	13	11	R3	B3	44.53	G52	13	11
E2	14	1	R3	B2	69.833	G45	14	1
E2	14	2	R3	B2	64.769	G56	14	2
E2	14	3	R3	B8	55.894	G60	14	3
E2	14	4	R3	B8	41.5	G37	14	4
E2	14	5	R3	B8	55.391	G08	14	5
E2	14	6	R3	B8	63.149	G27	14	6
E2	14	7	R3	B8	63.522	G14	14	7
E2	14	8	R3	B8	52.812	G23	14	8
E2	14	9	R3	B8	53.662	G50	14	9
E2	14	10	R3	B8	50.037	G41	14	10
E2	14	11	R3	B3	45.123	G21	14	11
E2	15	1	R3	B2	62.824	G28	15	1
E2	15	2	R3	B2	56.798	G59	15	2
E2	15	3	R3	B2	58.275	G22	15	3
E2	15	4	R3	B2	35.702	G33	15	4
E2	15	5	R3	B2	42.985	G02	15	5
E2	15	6	R3	B2	46.555	G15	15	6
E2	15	7	R3	B1	57.108	G20	15	7
E2	15	8	R3	B1	41.645	G30	15	8
E2	15	9	R3	B1	55.941	G48	15	9
E2	15	10	R3	B1	52.498	G34	15	10
E2	15	11	R3	B1	26.308	G53	15	11
E2	16	1	R3	B4	46.544	G26	16	1
E2	16	2	R3	B4	61.072	G47	16	2
E2	16	3	R3	B4	72.599	G51	16	3
E2	16	4	R3	B4	62.073	G64	16	4
E2	16	5	R3	B4	64.26	G17	16	5
E2	16	6	R3	B4	83.089	G13	16	6
E2	16	7	R3	B4	59.148	G04	16	7
E2	16	8	R3	B4	64.647	G38	16	8
E2	16	9	R3	B1	70.927	G01	16	9
E2	16	10	R3	B1	60.928	G11	16	10
E2	16	11	R3	B1	50.082	G63	16	11
E2	17	1	R3	B6	70.569	G61	17	1
E2	17	2	R3	B6	78.5	G16	17	2
E2	17	3	R3	B6	78.214	G06	17	3
E2	17	4	R3	B6	78.439	G55	17	4
E2	17	5	R3	B6	81.903	G36	17	5
E2	17	6	R3	B6	61.633	G18	17	6
E2	17	7	R3	B6	79.811	G25	17	7
E2	17	8	R3	B6	80.329	G43	17	8
E2	17	9	R3	B5	65.375	G31	17	9
E2	17	10	R3	B5	54.962	G19	17	10
E2	17	11	R3	B5	51.63	G49	17	11
E2	18	1	R3	B5	97.154	G40	18	1
E2	18	2	R3	B5	96.5	G62	18	2
E2	18	3	R3	B5	83.2	G12	18	3
E2	18	4	R3	B5	82.413	G42	18	4
E2	18	5	R3	B5	102.025	G05	18	5
E2	18	6	R3	B5		G01	18	6
E2	18	7	R3	B5		G01	18	7
E2	18	8	R3	B5		G01	18	8
E2	18	9	R3	B5		G01	18	9
E2	18	10	R3	B5		G01	18	10
E2	18	11	R3	B5		G01	18	11
E3	1	1	R1	B5	84.929	G13	1	1
E3	1	2	R1	B5	60.229	G37	1	2
E3	1	3	R1	B5	66.903	G53	1	3
E3	1	4	R1	B5	74.434	G29	1	4
E3	1	5	R1	B5	83.877	G21	1	5
E3	1	6	R1	B5	89.338	G45	1	6
E3	1	7	R1	B5	82.994	G05	1	7
E3	1	8	R1	B5	118.438	G61	1	8
E3	1	9	R1	B7	97.568	G15	1	9
E3	1	10	R1	B7	106.151	G39	1	10
E3	1	11	R1	B7	80.061	G55	1	11
E3	2	1	R1	B8	73.29	G48	2	1
E3	2	2	R1	B8	78.765	G24	2	2
E3	2	3	R1	B8	68.071	G32	2	3
E3	2	4	R1	B8	73.798	G56	2	4
E3	2	5	R1	B8	80.2	G40	2	5
E3	2	6	R1	B8	137.191	G16	2	6
E3	2	7	R1	B7	116.592	G63	2	7
E3	2	8	R1	B7	89.443	G07	2	8
E3	2	9	R1	B7	119.644	G47	2	9
E3	2	10	R1	B7	76.392	G23	2	10
E3	2	11	R1	B7	90.609	G31	2	11
E3	3	1	R1	B8	137.971	G08	3	1
E3	3	2	R1	B8	119.503	G64	3	2
E3	3	3	R1	B3	74.007	G11	3	3
E3	3	4	R1	B3	68.64	G35	3	4
E3	3	5	R1	B3	73.392	G51	3	5
E3	3	6	R1	B3	98.027	G27	3	6
E3	3	7	R1	B3	96.323	G19	3	7
E3	3	8	R1	B3	72.488	G43	3	8
E3	3	9	R1	B3	59.48	G03	3	9
E3	3	10	R1	B3	63.133	G59	3	10
E3	3	11	R1	B6	105.001	G14	3	11
E3	4	1	R1	B4	81.312	G28	4	1
E3	4	2	R1	B4	105.534	G52	4	2
E3	4	3	R1	B4	94.874	G36	4	3
E3	4	4	R1	B4	74.887	G12	4	4
E3	4	5	R1	B6	91.143	G62	4	5
E3	4	6	R1	B6	48.404	G06	4	6
E3	4	7	R1	B6	69.516	G46	4	7
E3	4	8	R1	B6	87.959	G22	4	8
E3	4	9	R1	B6	83.48	G30	4	9
E3	4	10	R1	B6	81.549	G54	4	10
E3	4	11	R1	B6	101.542	G38	4	11
E3	5	1	R1	B4	51.653	G20	5	1
E3	5	2	R1	B4	82.518	G44	5	2
E3	5	3	R1	B4	87.842	G04	5	3
E3	5	4	R1	B4	83.583	G60	5	4
E3	5	5	R1	B2	65.844	G10	5	5
E3	5	6	R1	B2	76.267	G34	5	6
E3	5	7	R1	B2	69.452	G50	5	7
E3	5	8	R1	B2	68.918	G26	5	8
E3	5	9	R1	B2	83.753	G18	5	9
E3	5	10	R1	B2	70.278	G42	5	10
E3	5	11	R1	B2	93.317	G02	5	11
E3	6	1	R2	B4	53.792	G29	6	1
E3	6	2	R2	B4	71.506	G11	6	2
E3	6	3	R1	B1	55.44	G57	6	3
E3	6	4	R1	B1	77.285	G01	6	4
E3	6	5	R1	B1	51.777	G41	6	5
E3	6	6	R1	B1	89.433	G17	6	6
E3	6	7	R1	B1	63.96	G25	6	7
E3	6	8	R1	B1	78.167	G49	6	8
E3	6	9	R1	B1	70.873	G33	6	9
E3	6	10	R1	B1	57.564	G09	6	10
E3	6	11	R1	B2	52.949	G58	6	11
E3	7	1	R2	B4	105.211	G58	7	1
E3	7	2	R2	B4	91.353	G04	7	2
E3	7	3	R2	B4	67.184	G40	7	3
E3	7	4	R2	B4	87.822	G22	7	4
E3	7	5	R2	B4	57.075	G41	7	5
E3	7	6	R2	B4	41.169	G55	7	6
E3	7	7	R2	B7	48.516	G07	7	7
E3	7	8	R2	B7	66.822	G48	7	8
E3	7	9	R2	B7	53.612	G33	7	9
E3	7	10	R2	B7	29.177	G14	7	10
E3	7	11	R2	B7	49.221	G61	7	11
E3	8	1	R2	B2	78.831	G46	8	1
E3	8	2	R2	B2	82.013	G53	8	2
E3	8	3	R2	B2	94.848	G31	8	3
E3	8	4	R2	B2	83.19	G02	8	4
E3	8	5	R2	B2	68.112	G35	8	5
E3	8	6	R2	B2	81.504	G16	8	6
E3	8	7	R2	B2	61.419	G17	8	7
E3	8	8	R2	B2	30.08	G60	8	8
E3	8	9	R2	B7	59.351	G19	8	9
E3	8	10	R2	B7	37.799	G26	8	10
E3	8	11	R2	B7	33.672	G52	8	11
E3	9	1	R2	B8	102.432	G49	9	1
E3	9	2	R2	B8	95.265	G36	9	2
E3	9	3	R2	B8	82.076	G47	9	3
E3	9	4	R2	B8	96.925	G21	9	4
E3	9	5	R2	B8	87.863	G30	9	5
E3	9	6	R2	B8	60.299	G08	9	6
E3	9	7	R2	B8	38.656	G59	9	7
E3	9	8	R2	B8	53.482	G10	9	8
E3	9	9	R2	B1	54.49	G18	9	9
E3	9	10	R2	B1	53.076	G62	9	10
E3	9	11	R2	B1	32.542	G27	9	11
E3	10	1	R2	B3	94.703	G34	10	1
E3	10	2	R2	B3	101.904	G23	10	2
E3	10	3	R2	B3	78.052	G25	10	3
E3	10	4	R2	B3	85.367	G54	10	4
E3	10	5	R2	B3	64.099	G03	10	5
E3	10	6	R2	B3	47.239	G45	10	6
E3	10	7	R2	B1	44.924	G01	10	7
E3	10	8	R2	B1	73.57	G39	10	8
E3	10	9	R2	B1	88.167	G13	10	9
E3	10	10	R2	B1	49.162	G44	10	10
E3	10	11	R2	B1	37.177	G56	10	11
E3	11	1	R2	B3	88.379	G12	11	1
E3	11	2	R2	B3	85.209	G64	11	2
E3	11	3	R2	B5	108.382	G38	11	3
E3	11	4	R2	B5	99.32	G50	11	4
E3	11	5	R2	B5	89.866	G05	11	5
E3	11	6	R2	B5	100.056	G63	11	6
E3	11	7	R2	B5	48.42	G09	11	7
E3	11	8	R2	B5	77.34	G43	11	8
E3	11	9	R2	B5	77.888	G24	11	9
E3	11	10	R2	B5	39.891	G28	11	10
E3	11	11	R2	B6	56.667	G32	11	11
E3	12	1	R3	B3	98.794	G39	12	1
E3	12	2	R3	B3	118.162	G52	12	2
E3	12	3	R3	B3	89.696	G09	12	3
E3	12	4	R3	B3	120.849	G32	12	4
E3	12	5	R2	B6	90.822	G37	12	5
E3	12	6	R2	B6	89.229	G06	12	6
E3	12	7	R2	B6	45.092	G57	12	7
E3	12	8	R2	B6	77.312	G51	12	8
E3	12	9	R2	B6	85.772	G42	12	9
E3	12	10	R2	B6	71.468	G20	12	10
E3	12	11	R2	B6	80.541	G15	12	11
E3	13	1	R3	B3	125.069	G03	13	1
E3	13	2	R3	B3	103.281	G58	13	2
E3	13	3	R3	B3	121.627	G21	13	3
E3	13	4	R3	B3	102.936	G46	13	4
E3	13	5	R3	B6	123.024	G55	13	5
E3	13	6	R3	B6	134.946	G36	13	6
E3	13	7	R3	B6	72.488	G25	13	7
E3	13	8	R3	B6	120.175	G16	13	8
E3	13	9	R3	B6	118.721	G61	13	9
E3	13	10	R3	B6	103.678	G06	13	10
E3	13	11	R3	B6	109.009	G43	13	11
E3	14	1	R3	B1	134.648	G53	14	1
E3	14	2	R3	B1	83.356	G34	14	2
E3	14	3	R3	B5	125.367	G12	14	3
E3	14	4	R3	B5	118.579	G40	14	4
E3	14	5	R3	B5	136.499	G49	14	5
E3	14	6	R3	B5	119.856	G31	14	6
E3	14	7	R3	B5	114.169	G19	14	7
E3	14	8	R3	B5	135.643	G62	14	8
E3	14	9	R3	B5	95.3	G42	14	9
E3	14	10	R3	B5	132.625	G05	14	10
E3	14	11	R3	B6	97.796	G18	14	11
E3	15	1	R3	B1	124.043	G11	15	1
E3	15	2	R3	B1	89.54	G30	15	2
E3	15	3	R3	B1	117.605	G20	15	3
E3	15	4	R3	B1	88.06	G48	15	4
E3	15	5	R3	B1	142.749	G01	15	5
E3	15	6	R3	B1	142.95	G63	15	6
E3	15	7	R3	B8	111.536	G14	15	7
E3	15	8	R3	B8	138.732	G27	15	8
E3	15	9	R3	B8	105.37	G37	15	9
E3	15	10	R3	B8	96.853	G50	15	10
E3	15	11	R3	B8	105.789	G41	15	11
E3	16	1	R3	B2	104.202	G33	16	1
E3	16	2	R3	B2	98.677	G15	16	2
E3	16	3	R3	B2	122.967	G28	16	3
E3	16	4	R3	B2	109.564	G56	16	4
E3	16	5	R3	B2	121.096	G45	16	5
E3	16	6	R3	B2	119.005	G02	16	6
E3	16	7	R3	B2	114.183	G22	16	7
E3	16	8	R3	B2	67.909	G59	16	8
E3	16	9	R3	B8	98.559	G08	16	9
E3	16	10	R3	B8	68.624	G60	16	10
E3	16	11	R3	B8	56.496	G23	16	11
E3	17	1	R3	B7	112.464	G44	17	1
E3	17	2	R3	B7	100.216	G07	17	2
E3	17	3	R3	B7	125.367	G24	17	3
E3	17	4	R3	B7	102.553	G57	17	4
E3	17	5	R3	B7	103.647	G10	17	5
E3	17	6	R3	B7	104.1	G35	17	6
E3	17	7	R3	B7	104.508	G54	17	7
E3	17	8	R3	B7	78.176	G29	17	8
E3	17	9	R3	B4	117.857	G17	17	9
E3	17	10	R3	B4	82.563	G64	17	10
E3	17	11	R3	B4	95.772	G47	17	11
